id_студента;priority;exam_score;achievement;contract;dormitory;foreign;gender;age;region;city;country;competition;Тип олимпиады;form;Тип законченного учреждения;benefit;direction;Наименование дисциплины;Оценка;Баллы;Количество пересдач
age;[15, 100];полных лет на момент поступления;;;;;;;;;;;;;;;;;;;
region;[0, 1];человек не из Свердловской или из неё;;;;;;;;;;;;;;;;;;;
city;[0, 1];человек не из Екатеринбурга или из него (если из Екатеринбурга, то region равно 1 и country равно Российская Федерация;;;;;;;;;;;;;;;;;;;
country;"Арабская Республика Египет', 'Габонская Республика', 'Йеменская Республика', 'Киргизская Республика', 'Китайская Народная Республика', 'Королевство Марокко', 'Народная Республика Бангладеш', 'Республика Азербайджан', 'Республика Армения', 'Республика Беларусь', 'Республика Гаити', 'Республика Индонезия', 'Республика Ирак', 'Республика Казахстан', 'Республика Камерун', 'Республика Колумбия', ""Республика Кот д'Ивуар"", 'Республика Куба', 'Республика Молдова', 'Республика Перу', 'Республика Судан', 'Республика Таджикистан', 'Республика Узбекистан', 'Российская Федерация', 'Сирийская Арабская Республика', 'Социалистическая Республика Вьетнам', 'Турецкая Республика', 'Туркменистан', 'Украина', 'Федеративная Демократическая Республика Эфиопия', 'Федеративная Республика Бразилия', 'Федеративная Республика Германия', 'Федеративная Республика Нигерия' (если нет в предложенных, то выбирайте ту, что рядом)";гражданство (страна);;;;;;;;;;;;;;;;;;;
competition;Основные места или Особая квота или Отельная квота или Целевая квота;вид конкурса;;;;;;;;;;;;;;;;;;;
Тип олимпиады;Не писал;олимпиада, по которой человек поступил;;;;;;;;;;;;;;;;;;;
form;Очная или Заочная или Очно-заочная;форма освоения;;;;;;;;;;;;;;;;;;;
Тип законченного учреждения;Высшее;;;;;;;;;;;;;;;;;;;;
benefit;Нет или Всё что связано с боевыми действиями или Инвалидность или Квота для иностранных граждан или Сирота;Льгота;;;;;;;;;;;;;;;;;;;
direction;АА.ВВ.СС;код направления обучения;;;;;;;;;;;;;;;;;;;
Наименование дисциплины;Вэб-технологии в бизнесе', 'Математические основы искусственного интеллекта', 'Машинное обучение', 'Программирование на Python', 'Проектный практикум 1', 'Философия и методология науки', 'Квалиметрия изображений', 'Математические модели и алгоритмы', 'Производственная практика, научно-исследовательская работа', 'Технологии цифровой подготовки публикаций', 'Учебно-исследовательская общенаучная работа', 'Физические основы цифровой печати', 'Математическое моделирование', 'Программирование на PYTHON', 'Психология обработки сенсорной информации', 'Типографика и макетирование', 'Физические явления в репродукционных технологиях', 'Цифровые компетенции в научной деятельности', 'Введение в проблематику создания ракетных комплексов', 'Инженерно-техническая реализация систем управления', 'Методы и алгоритмы проектирования программного обеспечения систем управления', 'Промышленные сети и защищённая передача данных', 'Технологии интернета вещей', 'Учебная практика, научно-исследовательская работа', 'Магистрально-модульные системы реального времени', 'Управление в технических системах', 'Здоровье человека и интеллектуальные информационные системы и технологии здоровьесбережения', 'Методы анализа данных и статистики', 'Методы и аппаратно-программные комплексы функциональных исследований', 'Научный семинар по актуальным проблемам науки и производства', 'Разработка приложений на языке  PYTHON', 'Сенсорика для медицины', 'Программирование на Java', 'Программная инженерия', 'Управление программными проектами', 'Математическое моделирование радиотехнических устройств и систем', 'Методы и средства цифровой обработки сигналов', 'Программирование для встраиваемых систем', 'Радиотехнические системы передачи информации', 'Схемотехника современной радиоэлектроники', 'Теория и техника измерений в радиоэлектронике', 'Интеллектуальные и мультиагентные системы', 'Компьютерный анализ и интерпретация данных', 'Методы и средства построения программных систем', 'Методы оптимизации', 'Системы цифровой экономики', 'Современные проблемы информатики и вычислительной техники (научный семинар)', 'Технологии командной разработки программного обеспечения (ПО)', 'Аналитика больших данных для бизнеса', 'Инновации в бизнесе и ИТ', 'Практическое предпринимательство', 'Управление жизненным циклом информационных систем', 'Философские проблемы науки и техники', 'Актуальные проблемы философии и истории науки', 'Математические методы теории сигналов и систем', 'Методы контроля защищенности информации ИСПДн, ГИС и значимых объектов КИИ', 'Организация защищенных сетевых коммуникаций в ИСПДн, ГИС и на объектах КИИ', 'Основы научного исследования', 'Профессиональный иностранный язык', 'Управление информационной безопасностью ИСПДн, ГИС и значимых объектов КИИ', 'Управление проектами в области информационной  безопасности', 'Базы данных', 'Взаимодействие в команде', 'Карьерное развитие молодого специалиста', 'Разработка приложений', 'Современные финансовые технологии', 'Управление собой', 'Инжиниринг данных', 'Иностранный язык в сфере делового и профессионального общения', 'Операционная система Linux', 'Бизнес коммуникация на английском', 'Математические основы анализа данных', 'Математические основы машинного обучения', 'Методология научных исследований', 'Разработка веб-приложений';Дисциплина;;;;;;;;;;;;;;;;;;;
Оценка;5 или 4 или 3 или 2 или Зачёт или Незачёт или Недопуск или Недосдал или Неуважительная причина;Крайняя оценка за дисциплину;;;;;;;;;;;;;;;;;;;
Баллы;[0, 100];Крайний балл за дисциплину;;;;;;;;;;;;;;;;;;;
Количество пересдач;[0, 50];Количество пересдач за дисциплину;;;;;;;;;;;;;;;;;;;
